"method","n","regret_mean","regret_se","near_optimal_mean","near_optimal_se","dose_distance_mean","dose_distance_se","rpsel_mean","rpsel_se","pmad_mean","pmad_se","unique_doses_mean","unique_doses_se","total_cost_mean","total_cost_se","n_replicates"
"AB-GP",76,0.127334587424302,0.00532965408707775,0.852261306532663,0.00761037252683274,0.887113982904012,0.0092944237532114,0.228904546690235,0.00327974693405879,0.152902646014656,0.00371576994014473,15.4713567839196,0.095952768231953,308.070351758794,1.4392915234793,995
"AB-GP",78,0.127985523683282,0.00542457582564758,0.850753768844221,0.0077293148331415,0.888036093373543,0.00943189870907418,0.224119825712117,0.00309210388556155,0.149728440697848,0.00350603973503398,15.6683417085427,0.0996974927811751,313.025125628141,1.49546239171763,995
"AB-GP",80,0.124070198813053,0.00529869934315537,0.859798994974874,0.00750397740902739,0.87947576279529,0.00944074907323873,0.22330698608455,0.00326559474939504,0.150495037450669,0.00371311314403828,15.878391959799,0.102870666716471,318.175879396985,1.54306000074706,995
"AB-GP",82,0.124589535104814,0.0054092246078443,0.85929648241206,0.00757835941596586,0.875161297248744,0.00992513050160566,0.220784680901114,0.00330860718970658,0.147553246686519,0.00370481366060767,16.0894472361809,0.105628766308627,323.341708542714,1.5844314946294,995
"AB-GP",84,0.122038769016283,0.00524130393134245,0.858793969849246,0.00751868967854704,0.868097014639384,0.00958890756080163,0.217354284209389,0.00320446829688468,0.146211831631794,0.00359777841696715,16.2582914572864,0.107683913835853,327.874371859297,1.6152587075378,995
"AB-GP",86,0.116259929886465,0.00496456132554478,0.863819095477387,0.00751108348187681,0.868268347025254,0.00960334053501696,0.216412234299213,0.0034178497929917,0.145234870784315,0.00378988080474707,16.4261306532663,0.10993590386434,332.391959798995,1.64903855796511,995
"AB-GP",88,0.118658232544606,0.00498682032211215,0.860804020100502,0.00755630324687294,0.86913664956865,0.00968798796932168,0.214510918982191,0.00339901824784296,0.144303516154209,0.00376113446474309,16.5708542713568,0.111897771941846,336.562814070352,1.67846657912769,995
"AB-GP",90,0.115055241487241,0.00489027934850712,0.864824120603015,0.00739381892567834,0.86019573642111,0.00973386414666405,0.209923951688859,0.00331553066057879,0.140294069982594,0.00368564107022014,16.729648241206,0.113817331633264,340.94472361809,1.70725997449895,995
"AB-GP",92,0.112455418287645,0.00503027839565502,0.871724890829694,0.00750256871502713,0.847683115586279,0.0101865583291585,0.203389902936607,0.00316771558066425,0.136027290880042,0.00351899480405551,16.2445414847162,0.101479396887872,335.668122270742,1.52219095331808,916
"AB-GP",94,0.111083861437536,0.00515492545038753,0.874454148471616,0.00749338339505081,0.844466454982026,0.0104980842335911,0.200436184892855,0.00318124102501609,0.133810243035545,0.0035509880732718,16.382096069869,0.103603128324224,339.731441048035,1.55404692486336,916
"AB-GP",96,0.109339615764201,0.00494249183688917,0.877183406113537,0.00740294889611725,0.841249794377772,0.0104115869901051,0.200252932887405,0.0033004320902144,0.134504081223836,0.00364507165875281,16.5327510917031,0.105563932506296,343.991266375546,1.58345898759444,916
"AB-GP",98,0.107823609526236,0.00475219320923167,0.877183406113537,0.00744313182779521,0.838300415313493,0.0102219792547564,0.199208435512119,0.00329909680407119,0.134867341289612,0.00365851352417028,16.6386462882096,0.1067852856942,347.579694323144,1.601779285413,916
"AB-GP",100,0.100202042575151,0.00414213136359987,0.881004366812227,0.00728895901676051,0.824041453798825,0.00999033928970126,0.19804729765894,0.00330311006067983,0.134595725741688,0.00367299480693108,16.7554585152838,0.107829502226273,351.331877729258,1.61744253339409,916
"AB-GP",102,0.10302077133093,0.00461007858524626,0.88264192139738,0.00733826954446328,0.827014076679022,0.010290019539745,0.192585233759568,0.00306930677849857,0.129377999692205,0.00339322919181404,16.8810043668122,0.108847130646519,355.215065502183,1.63270695969778,916
"AB-GP",104,0.10121527128723,0.00454772767479529,0.884825327510917,0.00721240887522851,0.82306067019042,0.0102550025994281,0.191568390389832,0.00309118282975826,0.128925890666336,0.00341914328355595,16.9781659388646,0.109074527866806,358.672489082969,1.63611791800208,916
"AB-GP",106,0.103450452196224,0.00512533709067137,0.880145278450363,0.00772200066368086,0.819032436565379,0.0111402943318277,0.188023757985207,0.00326938114807015,0.126752896769707,0.00361363850913951,16.4019370460048,0.0974135911183618,352.029055690073,1.46120386677543,826
"AB-GP",108,0.102221474203702,0.00505035064161492,0.880145278450363,0.00776936443971941,0.82262933584345,0.0109641606646861,0.184339675469719,0.00310177898234173,0.123767785571279,0.00342604029191527,16.4927360774818,0.0987741759431337,355.391041162228,1.48161263914701,826
"AB-GP",110,0.105329842552838,0.0053949108123786,0.880750605326877,0.00766186254665962,0.82980690011308,0.0112967158562831,0.181475228135079,0.00284623588270839,0.121702318540865,0.00316238118130446,16.5714285714286,0.0998074727063095,358.571428571429,1.49711209059464,826
"AB-GP",112,0.10695990752467,0.0053896660249238,0.878934624697337,0.00774657881971029,0.830559103918842,0.0113134612546794,0.179620914820817,0.00280175008587906,0.120897162044914,0.00310095517825121,16.6476997578693,0.100175798439105,361.715496368039,1.50263697658657,826
