"method","n","unique_doses_mean","unique_doses_se","n_replicates"
"S-GP",34,8.81881881881882,0.0307088492197374,999
"S-GP",36,9.13855421686747,0.0317796925539649,996
"S-GP",38,9.40432098765432,0.0332923336214126,972
"S-GP",40,9.64262648008611,0.0351861692392167,929
"S-GP",42,9.84661835748792,0.0375113387029248,828
"S-GP",44,10.0200860832138,0.0403473697423881,697
"S-GP",46,10.0736842105263,0.0491735406298445,475
"S-GP",48,10.1210374639769,0.0549794671158469,347
"S-GP",50,10.0731707317073,0.0738214331606198,205
"S-GP",52,9.9009009009009,0.0931344742598138,111
"S-GP",54,9.8,0.100282088007486,60
"S-GP",56,9.8,0.121613798421012,35
"S-GP",58,10,0.258198889747161,15
"S-GP",60,9.66666666666667,0.333333333333333,6
"S-GP",62,9,NA,1
